Title,Year,Make,Model,Date of Sale, Sold Price,Type of Sale,Source
36k-Mile 1991 Toyota MR2 5-Speed,1991,,,2/9/24,"$3,600",No Reserve,https://bringatrailer.com/listing/13x5%e2%80%b3-fps-wheels-for-bmw/
Slicktop 2005 BMW M3 Coupe 6-Speed,2005,BMW,BMW E46 M3,2/9/24,"$26,250",,https://bringatrailer.com/listing/2005-bmw-m3-coupe-125/
1976 Pontiac Firebird Trans Am 455 4-Speed,1976,,,2/9/24,"$48,500",Alumni,https://bringatrailer.com/listing/1976-pontiac-firebird-trans-am-5/
Subaru-Powered Porsche 356 Speedster Replica by JPS Motorsports,,Porsche,Porsche 356 Replica,2/9/24,"$52,000",,https://bringatrailer.com/listing/subaru-powered-porsche-356-speedster-replica-by-jps-motorsports/
13×5″ FPS Wheels for BMW,,,,2/9/24,"$3,600",No Reserve,https://bringatrailer.com/listing/13x5%e2%80%b3-fps-wheels-for-bmw/
2009 Chevrolet HHR SS,2009,Chevrolet,,2/9/24,"$4,687",,https://bringatrailer.com/listing/2009-chevrolet-hhr-14/
Ferrari LaFerrari Seats,,Parts and Automobilia,Parts and Automobilia – Seats & Interior,2/9/24,"$7,500",No Reserve,https://bringatrailer.com/listing/ferrari-laferrari-seats/
1995 Land Rover Range Rover County Classic LWB,1995,Land Rover,Land Rover Range Rover Classic,2/9/24,"$25,850",,https://bringatrailer.com/listing/1995-land-rover-range-rover-county-classic-lwb-21/
"3,800-Mile 1973 Plymouth ’Cuda 340 4-Speed",1973,Plymouth,Plymouth Barracuda,2/9/24,"$60,500",,https://bringatrailer.com/listing/1973-plymouth-cuda-3/
2005 Subaru Impreza WRX STi,2005,Subaru,Subaru WRX STi,2/9/24,"$16,027",No Reserve,https://bringatrailer.com/listing/2005-subaru-impreza-wrx-sti-109/
22k-Mile 2011 Jaguar XKR Coupe,2011,Jaguar,Jaguar XKR,2/9/24,"$29,500",No Reserve,https://bringatrailer.com/listing/2011-jaguar-xkr-coupe-4/
20k-Mile 1995 Porsche 911 Carrera Cabriolet 6-Speed,1995,Porsche,Porsche 993 911 (Non-Turbo/GT2),2/9/24,"$80,000",,https://bringatrailer.com/listing/1995-porsche-911-carrera-cabriolet-127/
1965 Ford Mustang Coupe 289 4-Speed,1965,Ford,Ford Mustang 1964.5-1966,2/9/24,"$18,500",,https://bringatrailer.com/listing/1965-ford-mustang-438-2/
21-Years-Owned 1972 Opel GT,1972,Opel,Opel GT,2/9/24,"$9,000",No Reserve,https://bringatrailer.com/listing/1972-opel-gt-16/
1995 Land Rover Discovery 300Tdi 3-Door 5-Speed,1995,Land Rover,Land Rover Discovery,2/9/24,"$14,000",,https://bringatrailer.com/listing/1995-land-rover-discovery-300-tdi/
2020 Porsche Macan Turbo,2020,Porsche,Porsche Macan,2/9/24,"$57,000",,https://bringatrailer.com/listing/2020-porsche-macan-turbo-3/
Illuminated Thrush Mufflers Sign,,,,2/9/24,"$3,800",No Reserve,https://bringatrailer.com/listing/illuminated-thrush-mufflers-sign/
1968 Mercedes-Benz 280SL,1968,Mercedes-Benz,Mercedes-Benz W113 SL,2/9/24,"$84,000",Alumni,https://bringatrailer.com/listing/1968-mercedes-benz-280sl-54/
Texaco-Branded Boyle-Dayton Gas Pump,,Parts and Automobilia,Parts and Automobilia – Literature & Memorabilia,2/9/24,"$8,099",No Reserve,https://bringatrailer.com/listing/texaco-branded-boyle-dayton-gas-pump/
1973 Pontiac Grand Prix,1973,,,2/9/24,"$13,000",,https://bringatrailer.com/listing/1973-pontiac-grand-prix-5/
